id_devis_type,num_devis_type,description_devis_type,nom_devis_type,dth_creation_devis_type,id_produit,nom_produit,cd_produit,famille_article_produit,famille_produit,famille_equipement_produit,marque_produit,modele_produit,type_equipement_produit,min_pv,max_pv,moy_pv
a1mSb000000vIxtIAE,DT-00001728,,HES_PV2_G_3KWc_MONO_JANV25,2025-01-20 13:52:23,01tSb00000D2kX9IAJ,Panneaux Sol&Go - SOL&MOI,PV2_G_PANN_UNITAIRE,Appareils,Appareils,Photovoltaïque,SOL&MOI,Sol&Go,Panneau solaire photovoltaïque,"102,2","102,2","102,2"
a1mSb000000vIxtIAE,DT-00001728,,HES_PV2_G_3KWc_MONO_JANV25,2025-01-20 13:52:23,01tSb00000D2kYIIAZ,Accompagnement administratif - SOL&MOI,PV2_FORFAIT_ADMINISTRATIF,Accessoires,Accessoires,Photovoltaïque,SOL&MOI,,Accessoire ou pièces détachées de PV,350,350,350
a1mSb000000vIxtIAE,DT-00001728,,HES_PV2_G_3KWc_MONO_JANV25,2025-01-20 13:52:23,01tSb00000D2kY6IAJ,Forfait main d'oeuvre Sol&Go - SOL&MOI,PV2_G_FORFAIT_MO_1_6_PANN,Accessoires,Accessoires,Photovoltaïque,SOL&MOI,,Accessoire ou pièces détachées de PV,"2787,18","2787,18","2787,18"
a1mSb000000vIxtIAE,DT-00001728,,HES_PV2_G_3KWc_MONO_JANV25,2025-01-20 13:52:23,01tSb00000D2kXCIAZ,Système de fixation en surimposition - SOL&MOI,PV2_FIXATION_MECA,Accessoires,Accessoires,Photovoltaïque,SOL&MOI,,Accessoire ou pièces détachées de PV,90,90,90
a1mSb000000vIxtIAE,DT-00001728,,HES_PV2_G_3KWc_MONO_JANV25,2025-01-20 13:52:23,01tSb00000D2kXMIAZ,Kit micro onduleurs APS + accessoires avec passerelle de communication ECU C Mono + Coffret de protection NFC 15 100 : - SOL&MOI,PV2_Z_MICRO_MONO_APS_ECUC_1_6_PANN,Accessoires,Accessoires,Photovoltaïque,SOL&MOI,,Accessoire ou pièces détachées de PV,"489,32","489,32","489,32"
a1mSb000000vMBtIAM,DT-00001732,,HES_PV2_G_6KWc_MONO_JANV25,2025-01-20 16:31:59,01tSb00000D2kY7IAJ,Forfait main d'oeuvre Sol&Go - SOL&MOI,PV2_G_FORFAIT_MO_7_12_PANN,Accessoires,Accessoires,Photovoltaïque,SOL&MOI,,Accessoire ou pièces détachées de PV,3401,3401,3401
a1mSb000000vMBtIAM,DT-00001732,,HES_PV2_G_6KWc_MONO_JANV25,2025-01-20 16:31:59,01tSb00000D2kYIIAZ,Accompagnement administratif - SOL&MOI,PV2_FORFAIT_ADMINISTRATIF,Accessoires,Accessoires,Photovoltaïque,SOL&MOI,,Accessoire ou pièces détachées de PV,350,350,350
a1mSb000000vMBtIAM,DT-00001732,,HES_PV2_G_6KWc_MONO_JANV25,2025-01-20 16:31:59,01tSb00000D2kX9IAJ,Panneaux Sol&Go - SOL&MOI,PV2_G_PANN_UNITAIRE,Appareils,Appareils,Photovoltaïque,SOL&MOI,Sol&Go,Panneau solaire photovoltaïque,"102,2","102,2","102,2"
a1mSb000000vMBtIAM,DT-00001732,,HES_PV2_G_6KWc_MONO_JANV25,2025-01-20 16:31:59,01tSb00000D2kXCIAZ,Système de fixation en surimposition - SOL&MOI,PV2_FIXATION_MECA,Accessoires,Accessoires,Photovoltaïque,SOL&MOI,,Accessoire ou pièces détachées de PV,90,90,90
a1mSb000000vMBtIAM,DT-00001732,,HES_PV2_G_6KWc_MONO_JANV25,2025-01-20 16:31:59,01tSb00000D2kXNIAZ,Kit micro onduleurs APS + accessoires avec passerelle de communication ECU C Mono + Coffret de protection NFC 15 100 : - SOL&MOI,PV2_Z_MICRO_MONO_APS_ECUC_7_12_PANN,Accessoires,Accessoires,Photovoltaïque,SOL&MOI,,Accessoire ou pièces détachées de PV,"464,04","464,04","464,04"
